                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87842,                0.54227,                0.95701,                0.97492,                 0.9867,                 0.9868,                0.79128,                0.78657,                0.42715,                0.91511,             0.00048904,             0.00048904,             0.00048904
                     37,                0.89453,                0.54867,                0.95884,                0.97651,                0.98233,                0.98842,                0.79089,                0.81452,                0.43917,                0.92018,             0.00048613,             0.00048613,             0.00048613
                     38,                0.89031,                0.55236,                0.95811,                0.97571,                0.98059,                0.98735,                0.80051,                 0.7725,                0.42152,                0.90905,             0.00048322,             0.00048322,             0.00048322
                     39,                0.88945,                0.53941,                0.95469,                0.98328,                0.99089,                0.98765,                0.78835,                0.79763,                0.40777,                0.91175,             0.00048031,             0.00048031,             0.00048031
                     40,                 0.8729,                0.53096,                0.95872,                0.98571,                0.99193,                0.98988,                0.79343,                0.80194,                0.39544,                0.92631,              0.0004774,              0.0004774,              0.0004774
                     41,                0.87846,                0.53709,                0.94767,                0.98091,                0.98946,                0.98977,                0.79273,                  0.792,                0.41849,                0.91555,             0.00047449,             0.00047449,             0.00047449
                     42,                0.86084,                0.54037,                0.95189,                0.97819,                0.99301,                0.98652,                0.76813,                0.87617,                0.41751,                0.94062,             0.00047158,             0.00047158,             0.00047158
                     43,                0.88264,                0.53963,                0.96205,                0.97821,                0.98278,                0.98456,                0.78048,                  0.816,                0.42791,                   0.92,             0.00046867,             0.00046867,             0.00046867
                     44,                0.88275,                0.52669,                  0.958,                0.98182,                0.98431,                 0.9868,                0.78752,                0.81888,                0.40842,                0.92606,             0.00046575,             0.00046575,             0.00046575
                     45,                0.85959,                0.51033,                0.94678,                0.98172,                0.99028,                0.98556,                0.78286,                0.83101,                0.41937,                0.92271,             0.00046284,             0.00046284,             0.00046284
                     46,                0.83055,                0.50447,                0.94141,                 0.9796,                0.98351,                0.98498,                0.79287,                0.78149,                0.40961,                0.91429,             0.00045993,             0.00045993,             0.00045993
                     47,                0.87207,                0.52532,                 0.9556,                0.97548,                0.98263,                0.98736,                0.78273,                0.82221,                0.41366,                0.92364,             0.00045702,             0.00045702,             0.00045702
                     48,                0.84833,                0.50902,                0.94025,                0.98609,                0.98531,                0.98801,                0.79485,                0.78748,                0.39241,                0.91629,             0.00045411,             0.00045411,             0.00045411
                     49,                0.83603,                0.50254,                0.94031,                0.98701,                0.98546,                0.98833,                0.77945,                0.81479,                0.40889,                0.92649,              0.0004512,              0.0004512,              0.0004512
                     50,                0.84124,                0.50028,                0.93931,                0.98184,                0.99105,                0.98684,                0.79009,                0.79417,                0.38818,                0.92023,             0.00044829,             0.00044829,             0.00044829
                     51,                0.83062,                0.49602,                0.93848,                0.98606,                0.99284,                0.98667,                0.80096,                0.78208,                0.38874,                0.92024,             0.00044538,             0.00044538,             0.00044538
                     52,                0.82242,                0.49687,                0.92753,                0.97362,                0.98683,                0.98881,                0.78533,                 0.8202,                0.40111,                0.93497,             0.00044247,             0.00044247,             0.00044247
                     53,                0.84786,                0.50323,                0.94544,                0.97375,                0.99081,                 0.9892,                 0.7861,                0.82075,                0.40039,                0.93945,             0.00043956,             0.00043956,             0.00043956
                     54,                 0.8274,                0.49274,                0.93545,                0.97529,                0.99301,                0.98824,                0.77713,                0.85852,                0.40315,                 0.9353,             0.00043665,             0.00043665,             0.00043665
                     55,                0.83355,                0.49656,                0.94312,                0.98613,                 0.9905,                0.98724,                0.76718,                0.92522,                0.41631,                0.97629,             0.00043374,             0.00043374,             0.00043374
                     56,                  0.829,                0.48822,                0.93091,                0.98318,                0.98566,                0.98883,                 0.7942,                0.81601,                0.39428,                0.92494,             0.00043083,             0.00043083,             0.00043083
