                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.67048,                0.35696,                  0.896,                0.98289,                0.99079,                0.98987,                0.81546,                0.78068,                0.32354,                0.91924,             0.00014559,             0.00014559,             0.00014559
                    155,                0.66275,                0.35592,                0.88925,                0.98174,                0.98908,                0.99023,                0.81329,                0.77397,                0.32129,                0.91591,             0.00014268,             0.00014268,             0.00014268
                    156,                 0.6531,                0.34904,                 0.8922,                0.98554,                0.98479,                 0.9897,                0.81447,                0.76566,                0.32085,                0.91771,             0.00013977,             0.00013977,             0.00013977
                    157,                0.65131,                0.34896,                 0.8847,                0.97227,                0.98849,                0.98913,                0.81737,                0.78285,                0.33091,                0.92864,             0.00013686,             0.00013686,             0.00013686
                    158,                0.66046,                0.34828,                0.89216,                0.98523,                0.98124,                0.98863,                0.80909,                0.78593,                0.32678,                0.92875,             0.00013395,             0.00013395,             0.00013395
                    159,                0.66455,                0.35536,                0.89946,                0.97927,                0.98869,                0.98909,                0.81153,                0.77971,                0.32218,                 0.9252,             0.00013104,             0.00013104,             0.00013104
                    160,                0.65814,                0.34631,                0.88934,                0.98134,                 0.9869,                0.98854,                0.81614,                0.77022,                 0.3224,                0.91838,             0.00012813,             0.00012813,             0.00012813
                    161,                0.65109,                0.34939,                0.89012,                0.96976,                0.99135,                0.99024,                0.81623,                0.76756,                0.32336,                0.92055,             0.00012521,             0.00012521,             0.00012521
                    162,                0.66322,                0.35282,                0.89506,                0.97281,                0.98452,                0.98849,                0.81871,                0.77091,                0.32787,                 0.9204,              0.0001223,              0.0001223,              0.0001223
                    163,                0.64481,                 0.3458,                0.88761,                0.97882,                 0.9899,                0.98995,                0.81615,                0.77243,                0.31909,                0.92344,             0.00011939,             0.00011939,             0.00011939
                    164,                0.65199,                0.34473,                 0.8881,                0.98285,                0.98683,                0.99019,                0.81711,                0.76115,                 0.3166,                0.91804,             0.00011648,             0.00011648,             0.00011648
                    165,                0.64519,                0.34759,                 0.8855,                0.98308,                0.98782,                0.98876,                0.81527,                0.75867,                0.31636,                0.91478,             0.00011357,             0.00011357,             0.00011357
                    166,                 0.6614,                0.35251,                0.89189,                0.97507,                0.98466,                0.98563,                0.81164,                0.76049,                0.32082,                0.91356,             0.00011066,             0.00011066,             0.00011066
                    167,                  0.654,                0.34475,                0.89047,                0.97673,                0.98586,                0.98922,                0.81289,                  0.775,                0.32457,                0.92149,             0.00010775,             0.00010775,             0.00010775
                    168,                0.63668,                0.34173,                0.88389,                0.98337,                0.98499,                0.98943,                0.81612,                 0.7815,                 0.3194,                0.92381,             0.00010484,             0.00010484,             0.00010484
                    169,                0.64778,                0.34578,                0.88454,                0.98301,                0.99164,                0.98977,                0.80765,                0.79433,                0.31693,                0.92674,             0.00010193,             0.00010193,             0.00010193
                    170,                0.63654,                0.33859,                0.88433,                0.98005,                0.98409,                0.98951,                0.81257,                0.79047,                0.32232,                0.92435,             9.9019e-05,             9.9019e-05,             9.9019e-05
                    171,                  0.649,                0.34375,                0.88352,                0.98409,                0.98322,                0.98864,                0.81618,                0.77952,                0.31888,                0.92283,             9.6109e-05,             9.6109e-05,             9.6109e-05
                    172,                0.63867,                0.34249,                0.88338,                0.98216,                0.98455,                0.98942,                0.81703,                0.76521,                0.31571,                0.91796,             9.3198e-05,             9.3198e-05,             9.3198e-05
                    173,                0.63945,                0.34107,                0.88767,                0.98336,                0.98414,                0.98828,                0.81578,                0.76275,                0.31602,                0.91781,             9.0287e-05,             9.0287e-05,             9.0287e-05
                    174,                0.64287,                0.34226,                0.88819,                0.97843,                0.98615,                 0.9876,                0.81514,                 0.7638,                 0.3184,                0.91752,             8.7377e-05,             8.7377e-05,             8.7377e-05
                    175,                0.63753,                 0.3399,                0.88373,                0.98409,                0.98381,                0.98806,                0.81271,                0.77447,                0.31728,                0.92157,             8.4466e-05,             8.4466e-05,             8.4466e-05
                    176,                0.64102,                0.34022,                0.89228,                0.98202,                0.98407,                0.98929,                0.81661,                0.76868,                0.31721,                0.91953,             8.1556e-05,             8.1556e-05,             8.1556e-05
                    177,                0.63489,                0.33496,                0.88381,                 0.9807,                 0.9887,                0.98925,                 0.8181,                0.76873,                0.31382,                0.91793,             7.8645e-05,             7.8645e-05,             7.8645e-05
                    178,                0.63809,                0.34348,                0.88156,                0.97932,                0.99094,                0.98814,                0.81718,                0.76815,                0.31598,                0.92063,             7.5734e-05,             7.5734e-05,             7.5734e-05
                    179,                0.63294,                0.34122,                 0.8799,                0.97904,                0.98842,                 0.9888,                 0.8146,                0.76963,                0.31617,                0.92241,             7.2824e-05,             7.2824e-05,             7.2824e-05
                    180,                0.64168,                0.34119,                0.88264,                0.97943,                0.99022,                0.98868,                0.81249,                0.77297,                0.31485,                0.91975,             6.9913e-05,             6.9913e-05,             6.9913e-05
                    181,                0.64466,                0.34164,                0.88047,                0.98482,                0.98429,                0.98869,                0.81564,                0.76868,                0.31633,                0.91757,             6.7003e-05,             6.7003e-05,             6.7003e-05
                    182,                0.62943,                0.33242,                0.88588,                 0.9848,                0.98549,                0.98903,                0.81535,                0.76883,                0.31682,                0.91877,             6.4092e-05,             6.4092e-05,             6.4092e-05
                    183,                0.62812,                0.33075,                0.88138,                0.98435,                0.98733,                0.98857,                0.81331,                0.78463,                0.31826,                0.92869,             6.1181e-05,             6.1181e-05,             6.1181e-05
                    184,                0.63317,                0.33406,                0.88023,                0.98263,                0.98699,                0.98793,                0.81575,                0.76603,                0.31348,                0.91905,             5.8271e-05,             5.8271e-05,             5.8271e-05
                    185,                 0.6211,                0.33247,                0.87823,                0.98623,                 0.9853,                0.98884,                0.81833,                0.76688,                0.31069,                0.92032,              5.536e-05,              5.536e-05,              5.536e-05
                    186,                0.63191,                0.33263,                0.88834,                0.98836,                0.98577,                0.98879,                0.81337,                0.76759,                0.31052,                0.92349,              5.245e-05,              5.245e-05,              5.245e-05
                    187,                0.63314,                 0.3372,                0.88264,                0.98593,                0.98586,                0.98861,                0.81158,                0.77047,                0.31249,                0.92163,             4.9539e-05,             4.9539e-05,             4.9539e-05
                    188,                0.61921,                0.33403,                0.87778,                0.98413,                0.98528,                0.98823,                0.81572,                0.76596,                0.31152,                0.91882,             4.6628e-05,             4.6628e-05,             4.6628e-05
                    189,                0.63036,                0.33541,                0.88526,                 0.9841,                0.98537,                0.98827,                0.81387,                0.77006,                0.31353,                0.92052,             4.3718e-05,             4.3718e-05,             4.3718e-05
                    190,                0.62487,                0.33367,                0.87956,                  0.985,                0.98533,                0.98934,                0.81367,                0.77399,                0.30992,                0.92134,             4.0807e-05,             4.0807e-05,             4.0807e-05
                    191,                0.61244,                0.30771,                0.89754,                0.98228,                0.98593,                0.98955,                0.81475,                0.78038,                0.31695,                0.92646,             3.7897e-05,             3.7897e-05,             3.7897e-05
                    192,                0.61875,                0.30703,                 0.8969,                0.98503,                0.98318,                0.98982,                0.80634,                0.78454,                0.32272,                0.92536,             3.4986e-05,             3.4986e-05,             3.4986e-05
