                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6281,                 3.6783,                 1.2558,                0.03109,                0.93936,                0.19789,                 0.1278,                  1.044,                 3.4622,                0.90951,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.3306,                 2.1233,                 1.0687,                0.64979,                0.19914,                0.44339,                 0.3211,                 1.0339,                 2.5924,                0.94117,             0.00025918,             0.00025918,             0.00025918
                      3,                 1.2559,                 1.6144,                 1.0589,                0.70431,                0.58838,                0.65479,                0.48887,                0.96652,                  1.621,                0.93078,             0.00019817,             0.00019817,             0.00019817
